label,s,zeta_s,euler_product,absolute_error,relative_error,pass
real_s_2,(2.0 + 0.0j),(1.644934066848226436472415166646025189219 + 0.0j),(1.644932747202026447175668817255789768775 + 0.0j),0.00000131964619998929674634939023542,0.000000802248689832172397242080556602,True
real_s_3,(3.0 + 0.0j),(1.202056903159594285399738161511449990765 + 0.0j),(1.202056903154595876059462465902542058275 + 0.0j),4.9984093402756956089079324901e-12,4.15821358135162132491213229943e-12,True
complex_2_plus_5i,(2.0 + 5.0j),(0.8509629436242629572108785359083142124066 + 0.09899694613483134722717746048483239204582j),(0.8509630359178424129972241961974569985148 + 0.09899705809285932742718021581094740350184j),0.000000145095502473290997997060677279,0.000000145095502473290997997060677279,True
complex_2_plus_10i,(2.0 + 10.0j),(1.197982500674184607599916761382374211803 - 0.07917049172052574727332257320728170568685j),(1.197982594849438063229191036750433502721 - 0.07917053478218689223057268435133561309591j),0.000000103553295572835993225539164391,0.0000000862515961330994390727034053427,True
complex_1_5_plus_5i,(1.5 + 5.0j),(0.8096191684069198166410321399528860920289 + 0.1344735773631487971832037039351065340134j),(0.8096492267938266461022832318757277072573 + 0.1345066475635713922440098120369850345522j),0.0000446894258122798365137027896637,0.0000446894258122798365137027896637,True
complex_1_5_plus_14i,(1.5 + 14.0j),(0.5452290132879393675621960195414578078795 + 0.002442458707730620937506837011490139876629j),(0.545220514796878899776903755222051969652 + 0.002436442328272074111386991628799322849562j),0.0000104125487799133533030227570566,0.0000104125487799133533030227570566,True
