label,s,one_minus_s,lambda_s,lambda_1_minus_s,absolute_error,relative_error,pass
s_2_plus_3i,(2.0 + 3.0j),(-1.0 - 3.0j),(-0.032530601147794033636625669802985559356311785660181 - 0.06720314575163215489164724527688830263429806052524j),(-0.032530601147794033636625669802985559356311785660181 - 0.06720314575163215489164724527688830263429806052524j),6.588873714519077015217858782043761879819e-83,6.588873714519077015217858782043761879819e-83,True
s_2_plus_10i,(2.0 + 10.0j),(-1.0 - 10.0j),(-0.00032606952229878134791642102550841481106782624687194 - 0.00076493822645984628852137410025808246678329349652505j),(-0.00032606952229878134791642102550841481106782624687194 - 0.00076493822645984628852137410025808246678329349652505j),2.772044597350135042849880890903783999724e-84,2.772044597350135042849880890903783999724e-84,True
s_1_5_plus_14i,(1.5 + 14.0j),(-0.5 - 14.0j),(0.0000086295209965317817066318790460358484115894613588866 - 0.000013237037224232863182908918700377365444540339006408j),(0.0000086295209965317817066318790460358484115894613588866 - 0.000013237037224232863182908918700377365444540339006408j),8.202342686262536498116280411620681308754e-86,8.202342686262536498116280411620681308754e-86,True
s_0_25_plus_5i,(0.25 + 5.0j),(0.75 - 5.0j),(-0.021532897619651988284667121520570660842955393394797 + 0.0034587044826893543172801226097473642473491630437202j),(-0.021532897619651988284667121520570660842955393394797 + 0.0034587044826893543172801226097473642473491630437202j),3.518460105892201728593428471133337157178e-83,3.518460105892201728593428471133337157178e-83,True
s_0_75_plus_7i,(0.75 + 7.0j),(0.25 - 7.0j),(-0.0061063053299503892347119544973824322828094460468433 - 0.0009843801587713922841565649766600613786610398125455j),(-0.0061063053299503892347119544973824322828094460468433 - 0.0009843801587713922841565649766600613786610398125455j),1.660037442420064834897065060634378102392e-83,1.660037442420064834897065060634378102392e-83,True
s_minus_1_plus_4i,(-1.0 + 4.0j),(2.0 - 4.0j),(-0.021444527375215576574981750475495967311313838641373 + 0.032836636857333274962773274676092128222466373381601j),(-0.021444527375215576574981750475495967311313838641373 + 0.032836636857333274962773274676092128222466373381601j),7.366584760413099631391634809624720965281e-83,7.366584760413099631391634809624720965281e-83,True
s_3_plus_20i,(3.0 + 20.0j),(-2.0 - 20.0j),(-0.00000066737439244178826411106326900467828315748447682039 + 0.00000011515034793714275456674590952745049799500123756046j),(-0.00000066737439244178826411106326900467828315748447682039 + 0.00000011515034793714275456674590952745049799500123756046j),4.496206518806823505488058355483838479786e-87,4.496206518806823505488058355483838479786e-87,True
s_0_4_plus_30i,(0.40000000000000002220446049250313080847263336181641 + 30.0j),(0.59999999999999997779553950749686919152736663818359 - 30.0j),(0.000000000032544706651962773765748588041547040479197898416999 - 0.000000000010873553229914343809577524265033105514789466273366j),(0.000000000032544706651962773765748588041547040479197898416999 - 0.000000000010873553229914343809577524265033105514789466273366j),3.430333342595537952795454677950926574544e-91,3.430333342595537952795454677950926574544e-91,True
