theta_degrees,scale,r,L_lower,r_nonzero,L_lower_positive,pass
0,1.0,0.0,0.0,False,False,True
30,1.0,0.25881904510252074,0.06698729810778066,True,True,True
60,1.0,0.49999999999999994,0.24999999999999994,True,True,True
90,1.0,0.7071067811865476,0.5000000000000001,True,True,True
120,1.0,0.8660254037844386,0.7499999999999999,True,True,True
150,1.0,0.9659258262890683,0.9330127018922194,True,True,True
180,1.0,1.0,1.0,True,True,True
