n,t,rho,real_part,imag_part,hardy_z,zeta_real,zeta_imag,zeta_error,real_error,tolerance,pass
12,56.4462476970633948043677594767061275527822644717166318454509693880938732327074387331254539,(0.5 + 56.4462476970633948043677594767061275527822644717166318454509693880938732327074387331254539j),0.5,56.4462476970633948043677594767061275527822644717166318454509693880938732327074387331254539,1.07945771421769067245860329424858184384651959883115168580674954476303886859651907993024097e-60,-3.79457854516936350656249142500508689781720119036003840312642159323823226046170987536915605e-61,-1.01056454194152543229153615903846217565156246617192004858833558050935264657819530267992417e-60,1.07945771421769067245860328230442624745527630276356069815365472222056320818496112762318782e-60,0.0,1e-50,True
13,59.3470440026023530796536486749922190310987728064666696981224513679180573268847958105620062,(0.5 + 59.3470440026023530796536486749922190310987728064666696981224513679180573268847958105620062j),0.5,59.3470440026023530796536486749922190310987728064666696981224513679180573268847958105620062,-5.38390416989536090463870393209049531423191660172659265248496460781709501774347405579180866e-61,-2.28569978265360888741477478117857176873178523817721705590374666478500183775633167134572475e-61,-4.87462825394859215708567298300161747956588110280427400621657158870073786495719254585447387e-61,5.38390416989536090463870386540227594805966450599888120408670147385812323899380690814336849e-61,0.0,1e-50,True
14,60.831778524609809844259901824524003802910090451219178257101348380376083116167248350455146,(0.5 + 60.831778524609809844259901824524003802910090451219178257101348380376083116167248350455146j),0.5,60.831778524609809844259901824524003802910090451219178257101348380376083116167248350455146,7.35157071724588215903526935818632330503810212201470388777437273417048753972709065245535601e-61,6.29084456402738787464469649567894148127502705118752474871240421990199987968889570676446406e-61,-3.80405923743495330296392604930655352710703470873785980113601609786323998600002423041792357e-61,7.35157071724588215903526932835919279128516161592187710515476474472656364375391959912066952e-61,0.0,1e-50,True
15,65.1125440480816066608750542531837050293481492951667224059665007337236648677101493602167699,(0.5 + 65.1125440480816066608750542531837050293481492951667224059665007337236648677101493602167699j),0.5,65.1125440480816066608750542531837050293481492951667224059665007337236648677101493602167699,-8.07475442727461481515179146787673085096956659802373528366352062544657298562387032681010026e-61,-5.58758231657803796438440914559044342409005572280657811834869063114738743709995812109436723e-61,-5.82928665586582724590536781098991267891911243917956964470188490520789596477536316013720338e-61,8.07475442727461481515179112296492605502791186819326181415864933991680657114109635632219453e-61,0.0,1e-50,True
16,67.0798105294941737144788288965222167701071449517455588741966697689777730831063240674887278,(0.5 + 67.0798105294941737144788288965222167701071449517455588741966697689777730831063240674887278j),0.5,67.0798105294941737144788288965222167701071449517455588741966697689777730831063240674887278,-3.87541288823973260477112828442551818920254748114203072334494058558061014480027758578362491e-61,-2.42785871416974930607537037067044148491408944301205367709906381732541248973472380661648861e-62,3.86780041819312676797851234855661811371555329273010065902811817988050284647732503975981542e-61,3.87541288823973260477112849896984938228378118304392738149698374582203527335113128359731395e-61,0.0,1e-50,True
17,69.5464017111739792529268575265547384430124742096025101573245404575762282930098669795081219,(0.5 + 69.5464017111739792529268575265547384430124742096025101573245404575762282930098669795081219j),0.5,69.5464017111739792529268575265547384430124742096025101573245404575762282930098669795081219,1.00113988853338061516770754313107611650356456089895803664478054034273514982354201024012101e-60,-2.58765763198100629367564855012239367726463513675850992362149217741418279981165909170522142e-61,9.67120135355031408668679624245562868117114824233204291752714793366782231386373438793661039e-61,1.00113988853338061516770758769482730866681897390965671682725415717447231959447041120762164e-60,0.0,1e-50,True
18,72.0671576744819075825221079698261683904809066214566970866833058885328963214948526780188088,(0.5 + 72.0671576744819075825221079698261683904809066214566970866833058885328963214948526780188088j),0.5,72.0671576744819075825221079698261683904809066214566970866833058885328963214948526780188088,7.79540549415820302717871487408839388617891323203193023899098929122501686311213143668127904e-61,2.67577719565734153170393957195808980194722013724679049770501493238333782533201998729632925e-61,-7.32178688692535154050985286604749361249674515320805757018808904655991402229556644438021078e-61,7.79540549415820302717871446357742691543274461758206029567310631286300123211552649276772909e-61,0.0,1e-50,True
19,75.7046906990839331683269167620303459228119035306974003016477755558068149047449982910546733,(0.5 + 75.7046906990839331683269167620303459228119035306974003016477755558068149047449982910546733j),0.5,75.7046906990839331683269167620303459228119035306974003016477755558068149047449982910546733,4.52421179346186381330715703653045785306845003417081166776790600520656341198239129916420541e-61,3.78347156379661843251641968001945386302433381336093857340771319166888023442884837467210004e-61,2.48069249969474953654249829612344007039800810771380572338129008017625730516294657805873197e-61,4.52421179346186381330715702406883633153691818623466106412817284121792374603202063123566799e-61,0.0,1e-50,True
20,77.1448400688748053726826648563046370157960324492344610417652312607293339694892462454258581,(0.5 + 77.1448400688748053726826648563046370157960324492344610417652312607293339694892462454258581j),0.5,77.1448400688748053726826648563046370157960324492344610417652312607293339694892462454258581,2.80462976412303819969085187950111436447451099645231691498234706863794319258219838693121527e-61,9.67242298226586148041106885135452483960915749786196443975389168927801991752379436679354996e-62,-2.63256347508017376443862377642917481650122079852980550193810710997080910279812511852806746e-61,2.80462976412303819969085182016154658968109742866801830963550593095467845077086938408810872e-61,0.0,1e-50,True
21,79.3373750202493679227635928771162281906132467431200308784387207661699715047779994822815606,(0.5 + 79.3373750202493679227635928771162281906132467431200308784387207661699715047779994822815606j),0.5,79.3373750202493679227635928771162281906132467431200308784387207661699715047779994822815606,7.09771899799978948875565040983798904991466459986989152415171857095818448940403986898791943e-61,-4.72819017050125201915383583950706194448803541410952294373681828848923444866466287665797312e-61,5.29356521506465215901909963300643606473164914958722329287514444611553214363049225324989331e-61,7.09771899799978948875565070575388337384552093957797123644717391320018722472589143261322741e-61,0.0,1e-50,True
